Subject Number,Gender,Nice_Mean,Test Date,Age,Age Category,Ethnicity,Usable_Final_Sally,Exclusion_Criteria_Sally,Where will Sally look?,Where does Sally think her ball is?,Should Anne and Sally be friends?,Is Anne a nice girl or not a nice girl,Is Sally a nice girl or not a nice girl?,Order of think and look asked,1: look asked first; 2: think asked first 
1195,M,Mean,8/22/13,3.825301205,three,Mix bl Wh ,1,,Closet,Basket,No,Mean,Nice,Look 1st asked,1
1196,M,Mean,8/22/13,4.531763417,four,Mix as Wh,1,,Closet,Closet,No,Mean,Nice,Look 1st asked,1
1197,M,Nice,8/22/13,4.17305586,four,Ind,1,,Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1198,F,Mean,8/22/13,4.17305586,four,Ind,1,,Closet,Closet,Yes,Nice,Mean,Look 1st asked,1
1199,M,Mean,8/22/13,2.315693431,younger,Wh,0,was too young,Closet,,,,,Look 1st asked,1
1200,M,Nice,8/22/13,2.452554745,younger,Persian,0,was too young,Closet,,,,,Look 1st asked,1
1201,F,Nice,8/22/13,4.4550931,four,As,0,language issues,Closet,Basket,No,Mean,No,Look 1st asked,1
1202,F,Nice,8/22/13,3.729463308,three,Wh,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1203,M,Mean,8/22/13,4.864051095,four,Wh,1,,Closet,Basket,No,Mean,Nice,Look 1st asked,1
1204,M,Nice,8/23/13,3.608487337,three,Wh,1,,Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1205,F,Mean,8/23/13,4.107338445,four,Wh,1,,Closet,Basket,Yes,Nice,Mean,Look 1st asked,1
1206,M,Nice,8/23/13,4.490690033,four,As,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1207,M,Nice,8/23/13,3.685651698,three,Mix - as/Wh ,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1208,F,Mean,8/24/13,4.424972618,four,As,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1209,M,Mean,8/24/13,3.770536692,three,As,0,did not pay attention,Closet,Closet,Yes,Mean,Yes,Look 1st asked,1
1210,F,Nice,8/24/13,3.329226557,three,Wh,1,,Closet,Closet,Yes,Nice,Mean,Look 1st asked,1
1211,F,Mean,8/24/13,3.630390144,three,Wh,0,did not understand,Closet,Closet,Yes,Mean,No,Look 1st asked,1
1212,M,Nice,8/24/13,4.405805038,four,Wh,0,"No comments, so exclude to be safe",Closet,Basket,No,Mean,Yes,Look 1st asked,1
1213,F,Mean,8/24/13,4.175794085,four,Wh,0,had previously done the task,Basket,Basket,Yes,Mean,Yes,Look 1st asked,1
